Team,Pays,_,Nom_URL,Nom,Poste,Age,Date de naissance,Taille,Poids,JIFF,Contrat,Durée,Autres,TABLE
Sporting Union Agenais,France,,https://www.allrugby.com/joueurs/alex-burin-7289.html,Alex BURIN,Pilier,25,14/12/1999,,123,JIFF Formé(8),PRO,2026 +1,,TABLE PROS
Sporting Union Agenais,Angleterre,,https://www.allrugby.com/joueurs/beau-farrance-8270.html,Beau FARRANCE,Pilier,24,13/03/2001,,124,JIFF(8),PRO,2026,,TABLE PROS
Sporting Union Agenais,France,,https://www.allrugby.com/joueurs/florent-guion-5163.html,Florent GUION,Pilier,32,25/04/1993,,109,JIFF,PRO,2026 +1,,TABLE PROS
Sporting Union Agenais,France,,https://www.allrugby.com/joueurs/hans-lombard-buret-6129.html,Hans LOMBARD-BURET,Pilier,24,17/11/2000,,117,JIFF Formé(8),PRO,2027,,TABLE PROS
Sporting Union Agenais,Géorgie,,https://www.allrugby.com/joueurs/lasha-macharashvili-7300.html,Lasha MACHARASHVILI,Pilier,26,13/11/1998,,128,JIFF,PRO,2027,,TABLE PROS
Sporting Union Agenais,France,,https://www.allrugby.com/joueurs/luca-tabarot-12094.html,Luca TABAROT,Pilier,21,24/12/2003,,117,JIFF(8),PRO,2026,,TABLE PROS
Sporting Union Agenais,Géorgie,,https://www.allrugby.com/joueurs/mamuka-mstoiani-11285.html,Mamuka MSTOIANI,Pilier,23,05/12/2001,,120,JIFF Formé(8),PRO,2026,,TABLE PROS
Sporting Union Agenais,Géorgie,,https://www.allrugby.com/joueurs/omar-odishvili-5172.html,Omar ODISHVILI,Pilier,28,07/02/1997,,119,JIFF,PRO,,JOKER (8),TABLE PROS
Sporting Union Agenais,France,,https://www.allrugby.com/joueurs/cyril-deligny-1469.html,Cyril DELIGNY,Talonneur,33,22/06/1992,,102,JIFF,PRO,2027,,TABLE PROS
Sporting Union Agenais,France,,https://www.allrugby.com/joueurs/pierre-jouvin-14463.html,Pierre JOUVIN,Talonneur,21,03/12/2003,,108,JIFF Formé(8),PRO,2028,,TABLE PROS
Sporting Union Agenais,Argentine,,https://www.allrugby.com/joueurs/santi-socino-5724.html,Santi SOCINO,Talonneur,33,07/05/1992,,114,NON JIFF,PRO,2027,,TABLE PROS
Sporting Union Agenais,France,,https://www.allrugby.com/joueurs/denis-marchois-3589.html,Denis MARCHOIS,2ème ligne,31,05/02/1994,,115,JIFF,PRO,2028,,TABLE PROS
Sporting Union Agenais,Canada,,https://www.allrugby.com/joueurs/evan-olmstead-3931.html,Evan OLMSTEAD,2ème ligne,34,21/02/1991,,116,NON JIFF,PRO,2026,,TABLE PROS
Sporting Union Agenais,Chili,,https://www.allrugby.com/joueurs/javier-eissmann-12418.html,Javier EISSMANN,2ème ligne,28,21/03/1997,,118,NON JIFF,PRO,2027 +1,,TABLE PROS
