Team,Pays,_,Nom_URL,Nom,Poste,Age,Date de naissance,Taille,Poids,JIFF,Contrat,Durée,Autres,TABLE
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/andy-bordelai-8888.html,Andy BORDELAI,Pilier,25,29/03/2000,,117,JIFF,PRO,2026,,TABLE PROS
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/emerick-setiano-4686.html,Emerick SETIANO,Pilier,29,19/07/1996,,115,JIFF,PRO,2027,,TABLE PROS
Aviron Bayonnais,Argentine,,https://www.allrugby.com/joueurs/ignacio-calles-4531.html,Ignacio CALLES,Pilier,29,24/10/1995,,116,JIFF,PRO,2028,,TABLE PROS
Aviron Bayonnais,Fidji,,https://www.allrugby.com/joueurs/luke-tagi-8934.html,Luke TAGI,Pilier,28,23/06/1997,,130,NON JIFF,PRO,2028,,TABLE PROS
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/pascal-cotet-1906.html,Pascal COTET,Pilier,31,12/10/1993,,128,JIFF,PRO,2026,,TABLE PROS
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/pierre-castillon-17309.html,Pierre CASTILLON,Pilier,22,20/09/2003,,106,JIFF,ESPOIR,2028,,TABLE PROS
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/swan-cormenier-5203.html,Swan CORMENIER,Pilier,29,18/01/1996,,120,JIFF,PRO,2027,,TABLE PROS
Aviron Bayonnais,Tonga,,https://www.allrugby.com/joueurs/tevita-tatafu-11206.html,Tevita TATAFU,Pilier,22,13/10/2002,,140,JIFF Formé(8),PRO,2030,,TABLE PROS
Aviron Bayonnais,Argentine,,https://www.allrugby.com/joueurs/facundo-bosch-5142.html,Facundo BOSCH,Talonneur,34,08/08/1991,,102,NON JIFF,PRO,2026,,TABLE PROS
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/lucas-martin-11207.html,Lucas MARTIN,Talonneur,22,09/12/2002,,105,JIFF(8),PRO,2027,,TABLE PROS
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/vincent-giudicelli-4847.html,Vincent GIUDICELLI,Talonneur,28,25/06/1997,,104,JIFF,PRO,2026,,TABLE PROS
Aviron Bayonnais,Angleterre,,https://www.allrugby.com/joueurs/alex-moon-6201.html,Alex MOON,2ème ligne,29,06/09/1996,,127,NON JIFF,PRO,2026,,TABLE PROS
Aviron Bayonnais,Ecosse,,https://www.allrugby.com/joueurs/ewan-johnson-7284.html,Ewan JOHNSON,2ème ligne,26,27/06/1999,,120,JIFF,PRO,2027,,TABLE PROS
Aviron Bayonnais,Argentine,,https://www.allrugby.com/joueurs/lucas-paulos-7501.html,Lucas PAULOS,2ème ligne,27,09/01/1998,,123,JIFF,PRO,2027,,TABLE PROS
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/alexandre-fischer-5552.html,Alexandre FISCHER,3ème ligne,27,19/01/1998,,107,JIFF,PRO,2028,,TABLE PROS
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/arthur-iturria-3366.html,Arthur ITURRIA,3ème ligne,31,13/05/1994,,112,JIFF,PRO,2027,,TABLE PROS
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/baptiste-chouzenoux-2509.html,Baptiste CHOUZENOUX,3ème ligne,32,07/08/1993,,107,JIFF,PRO,2027,,TABLE PROS
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/baptiste-heguy-5427.html,Baptiste HÉGUY,3ème ligne,27,11/05/1998,,108,JIFF Formé(8),PRO,2027,,TABLE PROS
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/esteban-capilla-12571.html,Esteban CAPILLA,3ème ligne,22,05/01/2003,,100,JIFF Formé(8),PRO,2027,,TABLE PROS
Aviron Bayonnais,Allemagne,,https://www.allrugby.com/joueurs/giovanni-habel-kueffner-4319.html,Giovanni HABEL-KUEFFNER,3ème ligne,30,09/01/1995,,110,JIFF,PRO,2027,,TABLE PROS
Aviron Bayonnais,Australie,,https://www.allrugby.com/joueurs/rob-leota-7492.html,Rob LEOTA,3ème ligne,28,03/03/1997,,110,NON JIFF,PRO,2027,,TABLE PROS
Aviron Bayonnais,Argentine,,https://www.allrugby.com/joueurs/rodrigo-bruni-7188.html,Rodrigo BRUNI,3ème ligne,32,03/09/1993,,111,NON JIFF,PRO,2027,,TABLE PROS
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/baptiste-germain-7571.html,Baptiste GERMAIN,Mêlée,24,21/11/2000,,82,JIFF,PRO,2027,,TABLE PROS
Aviron Bayonnais,Afrique du sud,,https://www.allrugby.com/joueurs/herschel-jantjies-6334.html,Herschel JANTJIES,Mêlée,29,22/04/1996,,77,NON JIFF,PRO,2027 +1,,TABLE PROS
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/maxime-machenaud-1202.html,Maxime MACHENAUD,Mêlée,36,30/12/1988,,87,JIFF,PRO,2026,,TABLE PROS
Aviron Bayonnais,Nouvelle-Zélande,,https://www.allrugby.com/joueurs/gareth-anscombe-3354.html,Gareth ANSCOMBE,Ouverture,34,10/05/1991,,96,NON JIFF,PRO,2026,,TABLE PROS
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/joris-segonds-4988.html,Joris SEGONDS,Ouverture,28,06/04/1997,,91,JIFF,PRO,2029,,TABLE PROS
Aviron Bayonnais,Italie,,https://www.allrugby.com/joueurs/federico-mori-7398.html,Federico MORI,Centre,24,13/10/2000,,108,JIFF,PRO,2027,,TABLE PROS
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/guillaume-martocq-5844.html,Guillaume MARTOCQ,Centre,26,23/08/1999,,96,JIFF Formé(8),PRO,2027,,TABLE PROS
Aviron Bayonnais,Samoa,,https://www.allrugby.com/joueurs/manu-tuilagi-2202.html,Manu TUILAGI,Centre,34,18/05/1991,,111,NON JIFF,PRO,2026,,TABLE PROS
Aviron Bayonnais,Australie,,https://www.allrugby.com/joueurs/reece-hodge-5007.html,Reece HODGE,Centre,31,26/08/1994,,94,NON JIFF,PRO,2026,,TABLE PROS
Aviron Bayonnais,Fidji,,https://www.allrugby.com/joueurs/sireli-maqala-12230.html,Sireli MAQALA,Centre,25,20/03/2000,,88,NON JIFF,PRO,2030,,TABLE PROS
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/arnaud-erbinartegaray-9716.html,Arnaud ERBINARTEGARAY,Ailier,25,16/09/2000,,89,JIFF,PRO,2027,,TABLE PROS
Aviron Bayonnais,Argentine,,https://www.allrugby.com/joueurs/mateo-carreras-8163.html,Mateo CARRERAS,Ailier,25,17/12/1999,,84,NON JIFF,PRO,2026,,TABLE PROS
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/nadir-megdoud-5495.html,Nadir MEGDOUD,Ailier,28,26/03/1997,,96,JIFF,PRO,2026,,TABLE PROS
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/victor-hannoun-14460.html,Victor HANNOUN,Ailier,22,20/08/2003,,85,JIFF Formé(8),PRO,2026,,TABLE PROS
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/cheikh-tiberghien-7315.html,Cheikh TIBERGHIEN,Arrière,25,08/01/2000,,96,JIFF,PRO,2026,,TABLE PROS
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/tom-spring-14458.html,Tom SPRING,Arrière,22,26/09/2002,,87,JIFF Formé(8),PRO,2028,,TABLE PROS
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/yohan-orabe-13645.html,Yohan ORABÉ,Arrière,23,21/05/2002,,87,JIFF(8),PRO,2027,,TABLE PROS
Aviron Bayonnais,Fidji,,https://www.allrugby.com/joueurs/emosi-tumania-20696.html,Emosi TUMANIA,Pilier,19,/06/2006,,-,NON JIFF,ESPOIR,,,TABLE ESPOIRS
Aviron Bayonnais,Espagne,,https://www.allrugby.com/joueurs/hugo-gonzalez-17732.html,Hugo GONZÁLEZ,Pilier,20,/05/2005,,119,NON JIFF,ESPOIR,,,TABLE ESPOIRS
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/liam-couturier-18221.html,Liam COUTURIER,Pilier,19,/09/2006,,113,JIFF,ESPOIR,,,TABLE ESPOIRS
Aviron Bayonnais,France,,https://www.allrugby.com/joueurs/maxime-casenave-20621.html,Maxime CASENAVE,Pilier,20,/06/2005,,-,JIFF,ESPOIR,,,TABLE ESPOIRS
